question_id,permutation_idx,prob_A,prob_B,prob_C,prob_D,predicted_answer,correct_position,model,is_correct_fixed,debiased_predicted_answer,debiased_is_correct
q688,0,0.6666666666666666,0.3333333333333333,0.0,0.0,A,B,gemma3:1b,0,B,1
q688,1,1.0,0.0,0.0,0.0,A,A,gemma3:1b,1,A,1
q688,2,0.0,0.0,0.0,1.0,D,D,gemma3:1b,1,D,1
q688,3,0.0,0.0,1.0,0.0,C,C,gemma3:1b,1,C,1
q697,0,0.3333333333333333,0.0,0.6666666666666666,0.0,C,C,gemma3:1b,1,C,1
q697,1,0.0,0.0,1.0,0.0,C,B,gemma3:1b,0,C,0
q697,2,1.0,0.0,0.0,0.0,A,A,gemma3:1b,1,A,1
q697,3,1.0,0.0,0.0,0.0,A,D,gemma3:1b,0,A,0
q738,0,0.3333333333333333,0.0,0.6666666666666666,0.0,C,D,gemma3:1b,0,C,0
q738,1,0.0,0.0,0.0,1.0,D,C,gemma3:1b,0,D,0
q738,2,0.0,0.0,0.0,1.0,D,B,gemma3:1b,0,D,0
q738,3,1.0,0.0,0.0,0.0,A,A,gemma3:1b,1,A,1
q746,0,0.0,0.3333333333333333,0.6666666666666666,0.0,C,D,gemma3:1b,0,B,0
q746,1,0.0,0.0,1.0,0.0,C,C,gemma3:1b,1,C,1
q746,2,0.0,0.0,1.0,0.0,C,B,gemma3:1b,0,C,0
q746,3,0.0,0.0,1.0,0.0,C,A,gemma3:1b,0,C,0
q798,0,0.0,0.0,0.6666666666666666,0.3333333333333333,C,D,gemma3:1b,0,D,1
q798,1,0.0,0.0,1.0,0.0,C,C,gemma3:1b,1,C,1
q798,2,0.0,0.0,1.0,0.0,C,B,gemma3:1b,0,C,0
q798,3,0.0,0.0,1.0,0.0,C,A,gemma3:1b,0,C,0
q810,0,0.0,0.0,0.6666666666666666,0.3333333333333333,C,D,gemma3:1b,0,D,1
q810,1,0.0,0.0,1.0,0.0,C,C,gemma3:1b,1,C,1
q810,2,1.0,0.0,0.0,0.0,A,B,gemma3:1b,0,A,0
q810,3,1.0,0.0,0.0,0.0,A,A,gemma3:1b,1,A,1
q825,0,0.0,0.3333333333333333,0.6666666666666666,0.0,C,D,gemma3:1b,0,B,0
q825,1,1.0,0.0,0.0,0.0,A,C,gemma3:1b,0,A,0
q825,2,0.0,0.0,1.0,0.0,C,B,gemma3:1b,0,C,0
q825,3,0.0,0.0,1.0,0.0,C,A,gemma3:1b,0,C,0
q851,0,0.6666666666666666,0.0,0.0,0.3333333333333333,A,D,gemma3:1b,0,D,1
q851,1,0.0,0.0,1.0,0.0,C,C,gemma3:1b,1,C,1
q851,2,0.0,1.0,0.0,0.0,B,B,gemma3:1b,1,B,1
q851,3,1.0,0.0,0.0,0.0,A,A,gemma3:1b,1,A,1
q884,0,0.0,0.0,0.3333333333333333,0.6666666666666666,D,C,gemma3:1b,0,D,0
q884,1,0.0,0.0,1.0,0.0,C,B,gemma3:1b,0,C,0
q884,2,1.0,0.0,0.0,0.0,A,A,gemma3:1b,1,A,1
q884,3,1.0,0.0,0.0,0.0,A,D,gemma3:1b,0,A,0
q916,0,0.0,0.0,0.3333333333333333,0.6666666666666666,D,D,gemma3:1b,1,D,1
q916,1,0.0,0.0,1.0,0.0,C,C,gemma3:1b,1,C,1
q916,2,0.0,1.0,0.0,0.0,B,B,gemma3:1b,1,B,1
q916,3,1.0,0.0,0.0,0.0,A,A,gemma3:1b,1,A,1
q938,0,0.6666666666666666,0.0,0.3333333333333333,0.0,A,C,gemma3:1b,0,A,0
q938,1,0.0,0.0,1.0,0.0,C,B,gemma3:1b,0,C,0
q938,2,1.0,0.0,0.0,0.0,A,A,gemma3:1b,1,A,1
q938,3,1.0,0.0,0.0,0.0,A,D,gemma3:1b,0,A,0
q959,0,0.6666666666666666,0.0,0.3333333333333333,0.0,A,D,gemma3:1b,0,A,0
q959,1,0.0,0.0,1.0,0.0,C,C,gemma3:1b,1,C,1
q959,2,0.0,1.0,0.0,0.0,B,B,gemma3:1b,1,B,1
q959,3,1.0,0.0,0.0,0.0,A,A,gemma3:1b,1,A,1
q987,0,0.0,0.0,0.6666666666666666,0.3333333333333333,C,D,gemma3:1b,0,D,1
q987,1,1.0,0.0,0.0,0.0,A,C,gemma3:1b,0,A,0
q987,2,1.0,0.0,0.0,0.0,A,B,gemma3:1b,0,A,0
q987,3,1.0,0.0,0.0,0.0,A,A,gemma3:1b,1,A,1
q1013,0,0.3333333333333333,0.0,0.6666666666666666,0.0,C,A,gemma3:1b,0,C,0
q1013,1,1.0,0.0,0.0,0.0,A,D,gemma3:1b,0,A,0
q1013,2,0.0,0.0,1.0,0.0,C,C,gemma3:1b,1,C,1
q1013,3,0.0,0.0,1.0,0.0,C,B,gemma3:1b,0,C,0
q1050,0,0.6666666666666666,0.0,0.3333333333333333,0.0,A,A,gemma3:1b,1,A,1
q1050,1,0.0,0.0,1.0,0.0,C,D,gemma3:1b,0,C,0
q1050,2,0.0,0.0,1.0,0.0,C,C,gemma3:1b,1,C,1
q1050,3,1.0,0.0,0.0,0.0,A,B,gemma3:1b,0,A,0
q1139,0,0.3333333333333333,0.0,0.6666666666666666,0.0,C,D,gemma3:1b,0,C,0
q1139,1,1.0,0.0,0.0,0.0,A,C,gemma3:1b,0,A,0
q1139,2,1.0,0.0,0.0,0.0,A,B,gemma3:1b,0,A,0
q1139,3,1.0,0.0,0.0,0.0,A,A,gemma3:1b,1,A,1
