id,question,option_a,option_b,option_c,option_d,answer
q33,7187,(ii) and (iii) only,(i) and (ii) only,"(i), (ii), and (iii)","(i), (ii), and (iii), plus additional benefits",B
q34,7541,"Yes, this is an example of a price-takers' market, Marginal revenue is $61.50 per share","Yes, this is an example of a price-takers' market, Marginal revenue is $61,375 per share","Yes, this is an example of a price-takers' market, Marginal revenue is $30,750 per share","Yes, this is an example of a price-takers' market, Marginal revenue is $61.625 per share",B
q36,7557,increase the consumer price index and the GDP deflator.,increase the consumer price index but not the GDP deflator.,increase the GDP deflator but not the consumer price index.,have no effect on the consumer price index or the GDP deflator.,D
q38,8473,0,1,9,8,A
q39,9417,It would depend on where the original block was in its cycle when the second block fell.,It will have no effect.,It would depend on the velocity of the second block.,It will cause the oscillation to become irregular.,A
q41,9547,resonance.,refraction.,All of these.,diffraction.,B
q43,10911,privacy.,respect.,rehabilitation programs.,dignity.,A
q44,11001,a court of law,the hospital administration,"no one, it should not be allowed under any circumstance",the patient's caregiver,D
q49,11733,"Sampling rate of 5 samples/sec, ramp slope of 150 V/sec, counting rate of 1,500 counts/second","Sampling rate of 3 samples/sec, ramp slope of 100 V/sec, counting rate of 1,600 counts/second","Sampling rate of 6 samples/sec, ramp slope of 300 V/sec, counting rate of 1,200 counts/second","Sampling rate of 1 sample/sec, ramp slope of 75 V/sec, counting rate of 750 counts/second",B
q53,484,"$3,090","$3,045","$3,105","$3,120",C
q54,649,$210.70,$143.20,$158.40,$177.60,D
q56,898,guilty of attempted murder.,guilty of manslaughter.,not guilty.,guilty of battery.,C
q57,1598,hear the case on its merits.,abstain from jurisdiction because it involves the operations of a commercial business.,dismiss the case because the resident is not a citizen of the state implementing the statute.,dismiss the suit because it involves a question of state law.,A
q59,2297,the type of stimuli introduced to the monkeys,"with which ""mother"" the bottle of milk is placed",the gender of the infant monkeys,the amount of milk in the bottle,B
q65,3857,4.27,2.07,5.5,1.0 × 10^-12,C
q67,3948,"-19.5 kcal/mole, -20.4 kcal/mole","-27.5 kcal/mole, -12.9 kcal/mole","-24.5 Kcal/mole, -16.4 Kcal/mole","-23.0 kcal/mole, -17.8 kcal/mole",C
q69,4240,- 20.38 kcal = - 106.209 kJ,- 25.38 kcal = - 106.209 kJ,- 30.38 kcal = - 106.209 kJ,- 25.38 kcal = - 100.209 kJ,B
q77,5731,Achievable,Specific,Broad,Measurable,C
q79,6012,Inspect the nail-bed angle from the side,Inspect the nail-bed curvature from below,Inspect the nail-bed angle from above,Assessing the nail's texture,A
q80,6260,"After absorption, both medium chain triglycerides (MCT) and long chain triglycerides enter the lymphatic system.",The products of complete digestion of triglycerides (triacylglycerols) can form mixed micelles with pancreatic cholesterol and phospholipids and this decreases absorption,Absorption of fatty acids in the intestine occurs mainly through FABP and FAT/CD36 transport proteins in the enterocytes of the distal duodenum,Triglycerides (triacylglycerols) must be emulsified and digested before the fatty acids can be transported,D
q83,7787,"Yes, with p=7.","No, but it is irreducible over Z.","Yes, with p=3.","Yes, with p=5.",C
q87,8176,225,15,90,165,D
q88,8210,50,-64.62,144,200,B
q89,8691,12 ÷ m = 4,m ÷ 4 = 12,m × 4 = 12,12 × m = 4,B
q90,9181,"1.5 × 10^9V/cm, 15V, 60V","1.5 × 10^8V/cm, 10V, 50V","3.5 × 10^9V/cm, 25V, 80V","3.2 × 10^8V/cm, 12V, 48V",A
q93,9719,9.0 × 10–8 J,2.0 J,2.7 × 10–9 J,0.6 J,D
q97,10408,10 times as many items can be uniquely identified.,2 more items can be uniquely identified.,2 times as many items can be uniquely identified.,The number of uniquely identified items will remain the same.,C
q100,12080,"(a) 110 volts, (b) 27 amp","(a) 125 volts, (b) 20 amp","(a) 100 volts, (b) 15 amp","(a) 130 volts, (b) 22 amp",B
q102,563,"$2,027.64","$2,738.42","$3,738.42","$4,210.78",D
q104,1726,"No, because federal law requires that a company give 90 days for return and the 30-day provision was null and void.","No, because there was no contract formed due to the purchaser's lack of assent to the additional terms and conditions.","Yes, because by not returning the computer within 30 days, the purchaser was bound to the additional terms and conditions that were a part of the contract.","Yes, because the seller provided the additional terms and conditions in writing with the delivered product.",C
q108,3807,"The value for nitrogen is less than that of phosphorus because nitrogen has a smaller atomic mass, but greater than that of oxygen because nitrogen has a larger atomic number.","The value for nitrogen is greater than that of phosphorus because nitrogen is smaller, but less than that of oxygen because nitrogen has a smaller effective nuclear charge.","The value for nitrogen is greater than that of phosphorus because nitrogen has a greater atomic number, but less than that of oxygen because nitrogen has fewer valence electrons.","The value for nitrogen is less than that of phosphorus because nitrogen is larger, but greater than that of oxygen because nitrogen has a greater effective nuclear charge.",B
q110,4568,1J,500J,-250J,-500J,C
q111,5084,become more permissive; remained constant,remained constant; become less accepting,remained constant; become more permissive,become more more permissive; become less accepting,D
q112,5208,peer pressure,economic issues,religious beliefs,pressure from their employers,B
q114,5533,$300 ,"$15,000","$1,000 ","$10,000 ",D
q116,5873,political parties must compete for the votes of 'consumers' in the electorate,political parties are primarily focused on maintaining power rather than serving the electorate,the state's power is primarily exercised through a centralized administrative structure,there is a direct correlation between wealth and political power,A
q118,6268,> 95%,95-100%,< 50%,75-95%,A
q122,6957,the price level rises with a decrease in aggregate demand.,the price level is constant with a decrease in aggregate demand.,the price level rises with an increase in aggregate demand.,the price level is constant with a decrease in long-run aggregate supply.,C
q124,8021,256 feet 8 inches,181 feet 4 inches,192 feet 4 inches,160 feet 8 inches,B
q126,8173,5,7,12,3,D
q129,8673,"μ = 14,900; σ = 6100","μ = 16,300; σ = 6800","μ = 14,500; σ = 5900","μ = 15,300; σ = 6300",D
q131,8947,15,12.5,10.5,10,B
q132,9408,9.8 ft/s,10.5 ft/s,12.3 ft/s,11.0 ft/s,A
q133,9517,\omega = const,N = I\omega,\dot{N} = const,N = const,A
q134,9789,"8.4 × 10^24, 5.5 × 10^9 years","8.4 × 10^24, 4.7 × 10^9 years","5 × 10^24, 7 × 10^9 years","9.84 × 10^24, 4.5 × 10^9 years",D
q136,10137,9000 lb,7760 lb,8850 lb,7000 lb,B
q138,10158,proportional to the square of amplitude,not related to the amplitude,proportional to amplitude,inversely proportional to amplitude,C
q140,10270,13.2 km/s,14.9$\mathrm{~km} / \mathrm{s}$,14.44$\mathrm{~km} / \mathrm{s}$,16.1 km/s,C
q141,10280,"Flint glass: mean deviation 5.50°, dispersion 0.030°; Crown glass: mean deviation 6.50°, dispersion 0.210°","Flint glass: mean deviation 6.20°, dispersion 0.192°; Crown glass: mean deviation 5.08°, dispersion 0.091°","Flint glass: mean deviation 0.091°, dispersion 5.08°; Crown glass: mean deviation 0.192°, dispersion 6.20°","Flint glass: mean deviation 6.00°, dispersion 0.020°; Crown glass: mean deviation 5.20°, dispersion 0.100°",B
q144,10576,"a) 1 parity bit, b) 2 parity bits","a) 4 parity bits, b) 3 parity bits","a) 6 parity bits, b) 5 parity bits","a) 3 parity bits, b) 2 parity bits",B
q147,11281,he considers the stronger version to be correct.,he considers the weaker version to be correct.,"he proposes a third, completely different principle.",he argues that the weaker version is stronger.,A
q148,11528,1.16 × 10^-7 watt/meter^2,2.32 × 10^-7 watt/meter^2,9.65 × 10^-7 watt/meter^2,5.80 × 10^-8 watt/meter^2,A
q149,11665,0.0161 °K/kPa,0.010 °K/kPa,-0.0161 °K/kPa,0.020 °K/kPa,A
q151,208,16.4,9.7,11.9,15.6,C
q160,1840,The defendant may introduce evidence to show good moral character.,The defendant may not introduce evidence to show honesty because character evidence is inadmissible.,The defendant may introduce evidence of his past good deeds.,The defendant may introduce evidence to show honesty.,D
q161,2492,it was a terrible movie,it was an excellent movie,"I liked the movie, despite what others think",the movie was okay,A
q164,4094,10,2,3,4,D
q165,4189,2.11 × 10^-8,2.73 × 10^-8,1.08 × 10^-8,3.92 × 10^-8,D
q167,4692,Thomas Hobbes because he thought human nature was naturally cruel and selfish.,Jean-Jacques Rousseau because he thought society corrupted noble souls.,Mary Wollstonecraft because she railed against the subjugation of women emotionally.,Denis Diderot because he believed emotions were superior to reason.,B
q170,4934,had to pay a high tax in goods and labor to the local governor.,lived under constant threat of being sold into slavery.,were mostly left alone and did fairly well for themselves.,"were under the direct control of the high priest, who demanded regular sacrifices.",C
q171,5203,Bristol,Oxford,Birmingham,Edinburgh,B
q172,5366,"The need for civilian expertise, a need driven by technological developments, resulted in a shift from targeted development of fast-changing technologies to deployment of a given technology.","Theory was necessary because nuclear technology was inherently more empirical, seen as what would be controlled by the bottom line of probable occurrences in a given conflict situation - the game of deterrence.",Broader political considerations about the potential implications of long-term mobilization resulted in a shift from tactical operations to long-term strategy.,"The combination of nuclear weapons and Cold War political considerations required a highly cohesive, strong military leadership to coordinate economic, political and military planning.",C
q173,5371,managers were becoming dissatisfied with their working conditions and planned to overthrow the owners of businesses,owners still exercised control through groups of shareholders and interlocking directorships,ownership and management were becoming increasingly separate functions,"the managerial revolution was a myth, as owners still held the majority of power in businesses",B
q174,5412,The planned level of assurance at the relevant assertion level.,The planned level of detection risk.,The effectiveness of the organization's risk management.,Management’s assertions that internal controls exist and are operating efficiently.,A
q177,6026,is opened by the action of levator veli palatini.,is closed by the action of tensor veli palatini.,connects the outer ear and nasopharynx.,is derived from the second pharyngeal pouch.,A
q178,6258,Adverse effect of medication,Alcohol withdrawal,Fat emboli,Sepsis,B
q180,6891,The demand for loanable funds consists of savers.,Real GDP is the sum of the money supply and the velocity of money.,The supply of loanable funds is solely determined by the central bank's policies.,Dollars earned today have more purchasing power than dollars earned a year from today.,D
q182,7034,Decrease taxes     Sell government securities,Decrease taxes     Increase the reserve ratio,Increase spending     Buy government securities,Increase taxes     Increase the discount ratio,D
q183,7215,"Advanced technology, extensive specialization, use of money","Central planning, equal income distribution, state ownership of resources","Government-regulated monopolies, planned obsolescence, compulsory consumption","Market competition, free trade, consumerism",A
q184,7488,The debt is the sum of all past and future deficits.,When the debt is positive the deficit decreases.,When the deficit is negative the debt decreases.,The deficit is the accumulation of past debts.,C
q186,7604,Assumes that ownership of resources means the owner is entitled to all the benefits,It underestimates the value of labor,It overlooks the historical and social factors that affect the distribution of resources,"It assumes perfect competition and complete information, which are rarely present in real markets",A
q190,8639,11.234567, 10.065778,6.789012,7.654321,B
q191,9783,1.0 × 10^-18 kg,2.0 × 10^-22 kg,8.0 × 10^-21 kg,7.5 × 10^-20 kg,C
q193,10385,w > z,1/w + 1/y > 1/x + 1/z,y > z,1/x + 1/z < 1/w + 1/y,D
q195,11454,366 Btu/lbm,500 Btu/lbm,250 Btu/lbm,400 Btu/lbm,A
q196,11775,E = bB_0e^btra_	extphi,E = - (1/2)bB_0e^btra_	extphi,E = - (1/2)bB_0e^bt_	extphi,E = - (1/2)bB_0e^bt,B
q199,12226,4.42 × 10^12 Ω,1.00 × 10^12 Ω,3.42 × 10^12 Ω,5.00 × 10^12 Ω,C
q200,12228,(i_z - 2i_y) volts/m,(-i_x + i_y) volts/m,(3i_x - i_y - 2i_z) volts/m,(2ix - 2i_y +i_z) volts/m,D
q201,884,His concept of status is misrepresented.,It is misinterpreted as a prediction.,His idea is considered inapplicable to Western legal systems.,It is incorrectly related to economic progression.,B
q203,1202,"A contract at $1,000 because the offer terms CIF means cost, insurance and freight including all loading charges.","A contract at $1,500 because the loading charges are to be included.",No contract because the order confirmation was a counteroffer which was not accepted.,"No contract because the purchase order was the offer and, under the mirror image rule, can not be deviated from.",C
q204,1856,Grounds include high crimes and misdemeanors,A majority vote in the House is necessary to invoke charges of impeachment,Grounds include treason and bribery,A three-fourths vote in the Senate is necessary to convict and remove from office,D
q207,2713,reciprocal determinism,cognitive dynamogenesis,psychic determinism,ptyalism,C
q209,2994,Wetlands,Tropical rain forest,Alpine,Desert,B
q210,3124,"Temperature, humidity, and air currents","Plant species, root depth, and wind speed","Soil fertility, irrigation methods, and cloud cover","Water salinity, leaf color, and time of day",A
q211,3497,Darwin presented evidence to prove that organic evolution occurred and devised the theory of natural selection.,"Darwin proposed that evolution occurs at a constant rate, known as the ""steady-state"" theory of evolution","Darwin developed the ""use and disuse"" theory, which states that parts of the body that are used extensively become stronger and larger, while those that are not used deteriorate","Darwin introduced the idea that acquired characteristics can be inherited, a principle known as Lamarckism",A
q212,3522,Apoenzymes can function independently as active enzymes without the need for cofactors.,Both apoenzymes and cofactors are types of vitamins essential for enzymatic reactions.,"Apoenzymes are the protein constituent of some enzymes and cannot perform enzymatic functions without their respective cofactors, which are smaller non-protein portions. Cofactors can perform enzymatic reactions without an apoenzyme, although at a slower rate.",Apoenzymes and cofactors are interchangeable terms in enzymology,C
q215,4006,"0.25 m, 9.2 atm","0.40 m, 8.3 atm","0.60 m, 4.9 atm","0.30 m, 7.6 atm",D
q217,4717,Woodrow Wilson's Fourteen Points,The Truman Doctrine,The Monroe Doctrine,"Theodore Roosevelt's ""Big Stick""",A
q218,4732,mobiliary art.,long-distance trade of exotic raw materials.,parietal art.,a Venus figurine.,A
q221,4841,geological layers and sediment types.,the architectural style and layout of structures on the site.,pumice and evidence of pyroclastic surges.,the faunal assemblage from a site.,D
q225,5398,He kills himself,Riff,Chino,Officer Krupke,C
q226,5652,Placement on TV or radio,Sponsorship,Social Media Advertising,Billboards and Posters,B
q232,7146,"The business cycle and growth are driven primarily by traditional industries, with little impact from technological progress.","Without technological progress, there would be no business cycle or growth.","Business cycles and growth are mainly the result of random market fluctuations, with technological progress playing a minor role.","Technological progress and imaginative, risk-taking innovators were the keys to the business cycle, and to growth.",D
q233,7247,The population is the total collection of all items of interest,The population can be infinite,"In theory, the sample could be larger than the population",A random sample is one where each individual item from the population is equally likely to be drawn.,C
q238,9844,6.34,9.05,14.7,8.46,B
q243,10653,"C1: (3,3), C2: (6,6), C3: (12,12)","C1: (6,6), C2: (12,12), C3: (12,12)","C1: (3,3), C2: (4,4), C3: (6,6)","C1: (1,1), C2: (4,4), C3: (6,6)",C
q246,11144,False dilemma,Circular reasoning,Accident,Bifurcation,C
q247,11737,First two digits from right to left,Median of all digits,First digit from right to left,First digit from left to right,D
q249,12006,30 volts,10 volts,12 volts,0 volts,B
q250,12193,0,1,2,10,C
q251,384,"(21 / 5) \DeltaD, 4\DeltaD, .2\DeltaD","(21 / 9) \DeltaD, 8\DeltaD, .15\DeltaD","(21 / 3) \DeltaD, 7\DeltaD, .5\DeltaD","(21 / 6) \DeltaD, 3\DeltaD, .1\DeltaD",A
q253,685,Economic environment.,Socio-cultural environment.,Geographic environment.,Political environment.,B
q254,2079,standardized test results show thar the incumbent does not have all the aptitudes expected for the particular job,age is a bona fide occupational requirement,properly administered intelligence and personality tests suggest that the incumbent is not likely to perform satisfactorily in the future,the interviewer is curious about the applicant's age,B
q255,2429,"Behavior changes randomly in conflict situations, regardless of other factors.",An organism's behavior in relation to a goal with conflicting motives would vary depending on the distance from the goal and the relative strengths of the approach and avoidance drives.,"Behavior is determined solely by the presence of external stimuli, with no internal conflict consideration.",The organism's behavior is determined by its physical abilities.,B
q256,2480,Stabilization of blood sugar levels,"Increased alpha and theta brain waves, lowered metabolism and heart rate",Heightened cortisol levels and stress response,Enhanced sympathetic nervous system activity,B
q257,2554,"Enactive codes store motor activity and can be utilized without active, conscious attention, unlike visual and verbal codes.",Visual codes are less detailed and less precise than enactive codes,Enactive and verbal codes are stored in the same way in the brain,"Enactive codes require active, conscious attention",A
q260,3230,"Multicellular organisms have a shorter lifespan, which allows for quicker evolutionary adaptations.","Multicellular organisms are always larger than single-celled organisms, providing them with better defense mechanisms.",Multicellular organisms are less versatile than single-celled organisms.,"Multicellular organisms have specialized cells for a variety of functions, higher order of complexity, better adaptation to different environments including land, and potential for diversity.",D
q261,3246,"The bacterial cell wall composition (peptidoglycan layer thickness and lipid content) determines whether a bacterial cell is gram-positive or gram-negative, which is the basis for gram staining.",The concentration of cytoplasmic enzymes in bacterial cells determines the outcome of gram staining,The bacterial cell wall is irrelevant for gram staining,The ability of bacterial cells to form spores is what determines gram staining results,A
q263,3436,Calvin cycle,Fermentation,Glycolysis,Oxidative phosphorylation,B
q264,4671,"40 residential complexes; 40,000","50 religious monuments; 5,000","120 earthen mounds; 10,000","70 public squares; 7,000",C
q266,4774,Our king of Shang brilliantly displayed his sagely prowess.,The former king began with careful attention to the bonds that hold men together.,The birds and beasts . . . enjoyed their existence according to their nature.,The ways of Heaven are not invariable: on the good-doer it sends down all blessings.,C
q268,4907,both a and b,Clovis,Gravettian,Mousterian,D
q269,4909,"a profusion of stone tool traditions, indicating a change from temporal and geographic homogeneity to greater diversity and variability","a gradual decline in the use of stone hand axes and tools, indicating a change to more flexible and workable materials such as wood and bone",decreased use of imported raw materials and increased use of whatever was locally available,"smaller sites, indicating a change from large roving bands of hunters to the earliest family groups and households",A
q270,4930,Mayan,Kwakiutl,Mississippian,Inca,C
q273,5515,the subordinate classes are dominated by the ideology of the ruling class,the media serves as a platform for the masses to voice their opinions,"the media manipulate 'the masses' as vulnerable, passive consumers",audiences make selective interpretations of media messages,C
q276,5804,is a document that is free from any alterations or forgeries,is a document that has been officially certified by a notary,"is a 'sound' original, or reliable copy, of known authorship","is a sincere and accurate account, free from political bias",C
q277,5837,Staff Technical Bulletins.,Accounting Standards Updates.,Emerging Issues Task Force Releases.,Statements of Position.,B
q278,5877,the young men and women employed in domestic service in the nineteenth century,"those in non-manual occupations, exercising authority on behalf of the state",those in manual labor jobs such as construction or manufacturing,"individuals in skilled trades like plumbing, electricians, and carpentry",B
q279,5970,A system where the national government controls all subnational units,The division of a country's power into national and subnational units,A government system where power is primarily held by subnational units,The division of government power among different political parties,B
q280,6726,The GP.,The named consultant.,The named nurse.,The hospital pharmacist.,B
q282,7070,The total output produced by a single unit of a factor,"The increase in total cost when one more unit of a factor is employed, holding all other factors constant",The cost of producing an additional unit of output,The amount by which total output increases due to the addition of one unit of a given factor while the amount used of other factors of production remains unchanged,D
q283,7188,The basic principle of the commercial loan theory of banking is that when bank loans are restricted to short--term commercial loans the stability of the entire banking system in times of financial crisis is assured.,The theory proposes that banks should focus on providing personal loans rather than commercial loans to ensure stability.,The theory recommends that banks should extend loans exclusively for long-term infrastructure projects to maintain financial equilibrium.,The theory suggests that financial panics can be avoided only by increasing interest rates.,A
q284,7517,Capital-output ratio has risen,Technological progress is the factor that has been most instrumental in offsetting diminishing returns.,Capital-labor ratio has decreased,New investments have reduced the stock of capital,B
q285,7523,Trade causes the price of resources to skyrocket,Trade causes the price of resources to become more volatile,"Trade roughly matches up the worldwide demand for resources, with the world-wide supply.",Trade leads to a scarcity of resources in regions with comparative disadvantage,C
q286,8050,x+10,x+11,10x+2,7+2x,B
q287,9145,$2.2 \times 10^3 \mathrm{~N} / \mathrm{C}$, $1.5$$10^3 \mathrm{~N} / \mathrm{C}$ ,$0.75 \times 10^3 \mathrm{~N} / \mathrm{C}$,$2.0 \times 10^3 \mathrm{~N} / \mathrm{C}$,B
q289,9887,10 volts,12 volts,1 volt,6 volts,D
q290,9889,100 joules,150 joules,250 joules,180 joules,A
q291,9966,4 × 10^-15 N,9 × 10^-15 N,2 × 10^-15 N,1 × 10^-14 N,A
q293,10394,$\nabla_w f(w) = X^\top X w - X^\top y + \lambda w$,$\nabla_w f(w) = X^\top X w - X^\top y + \lambda I$,$\nabla_w f(w) = X^\top X w - X^\top y + (\lambda+1) w$,$\nabla_w f(w) = X^\top X w - X^\top y + \lambda$,A
q296,10548,O(n^2),O(sqrt(n)),O(1),O(n^1/2),C
q297,10873,a kind of consistency test.,an instruction for determining the legality of an action.,a way to measure the value of an action's consequences.,a criterion for social acceptability.,A
q298,11052,325 CE,119 CE,451 CE,596 CE,D
q300,11748,"a) T = - 40°C or T = - 40°F, T_R= 420, T_K= 233.33 b) TC= 160, T_F= 320 F, T_R= 780, T_K= 433.33","a) T = - 30°C or T = - 30°F, T_R= 420, T_K= 233.33 b) TC= 150, T_F= 320 F, T_R= 780, T_K= 433.33","a) T = - 40°C or T = - 40°F, T_R= 420, T_K= 243.33 b) TC= 170, T_F= 320 F, T_R= 800, T_K= 433.33","a) T = - 40°C or T = - 40°F, T_R= 400, T_K= 220 b) TC= 160, T_F= 300 F, T_R= 760, T_K= 423.33",A
q303,889,"Naturalism concerns the underpinning values of the international society, while positivism the international rules as such","Naturalism is a contemporary theory, while positivism is a traditional theory","On the one hand, naturalism is based on a set of rules that are of universal and objective scope and on the other hand, positivism is based on a structured and coherent legal system that is created by States in light of their interests and desires","Naturalism argues that laws are inherently subjective and influenced by personal beliefs, while positivism argues that laws are objective and universally applicable",C
q305,1150,"Judgment for the store, because the mill failed to have a contingency plan in place.","Judgment for the mill, because their performance would be discharged by impossibility.","Judgment for the store, because the mill should have foreseen such a contingency occurring.","Judgment for the store, because the mill's duties of performance would not be excused.",D
q307,2576,screening procedures for patients may be ignored because a therapist is recommending the group experience,"patients beginning with a group, finding additional sources of support, tend to terminate the individual therapy prematurely",patients wait until they are in their individual sessions before reacting to what occurred in the group,"patients become reliant on group therapy, ignoring individual therapy sessions",C
q309,3080,"(a) Constitutive synthesis, (b) Inducible, (c) No production of enzymes","(a) Constitutive synthesis, (b) Constitutive synthesis, (c) No production of enzymes","(a) No production of enzymes, (b) Inducible, (c) Constitutive synthesis","(a) No production of enzymes, (b) Constitutive synthesis, (c) Inducible",A
q310,3491,Flipper of a cetacean,Antennae of a butterfly,Wing of a butterfly,Hindlimb of an elephant,A
q313,3784,x = 2.01,x = 3.14/1.56,x = 1.56/3.14,x = 1.25 × 10^-2,B
q318,5074,"Where the securitizing actor is a democratic state, the relevant audience is usually the wider population who have the right to reject the speech act.",Securitization reveals the power of the securitizing actor.,The adoption of extraordinary measures can retrospectively convince an audience of the existential threat.,The process of securitization is always reversible.,C
q319,5134,It was the first time the US became involved in the Balkans,It was the first war won by airpower alone,It was the first war where NATO suffered no casualties,It was the first war in which NATO used drones,B
q322,6060,Fatty acids can be made from and converted to carbohydrates and amino acids,Carbohydrates can be made from and converted to amino acids and fatty acids,Fatty acids can be made from but not converted to carbohydrates and amino acids,Amino acids can be made from and converted to fatty acids,C
q323,6203,0.2 mol retinol /mol ß-carotene,0.25 mol retinol /mol ß-carotene,0.05 mol retinol /mol ß-carotene,0.15 mol retinol /mol ß-carotene,D
q324,6293,There are many more memories to search through to find the one that is sought,The aging brain is less capable of accessing long-term memory,Memory is less well organized as we grow older and finding a memory can be quite difficult,Older adults intentionally suppress certain memories,A
q325,6350,It is impossible to predict an effect on breathing.,Their breathing rate will significantly increase.,They will only be able to breathe quietly.,Their breathing will be erratic and unpredictable.,C
q326,6404,Show lower levels during the years when children are present,Show constant low satisfaction throughout the marriage,Show high satisfaction through all the years of marriage,"Show a steady increase in satisfaction throughout the marriage, regardless of children's presence",A
q327,6685,Early Parkinson disease,Adverse effect of fluoxetine therapy,Adverse effect of atorvastatin therapy,Adverse effect of ibuprofen therapy,B
q331,8738,55.32,-32.214,-75.396,-64.428,C
q334,9572,"E = 1.21 × 10^3 V ⋅ m^-1, B = 4.05 × 10^-6 Weber ⋅ m^-2","E = 0.68 × 10^3 V ⋅ m^-1, B = 1.15 × 10^-5 Weber ⋅ m^-2","E = 0.71 × 10^3 V ullet m^-1, B = 2.39 × 10^-6 Weber ullet m^-2","E = 1.42 × 10^3 V ullet m^-1, B = 4.78 × 10^-6 Weber ullet m^-2",C
q336,10435,69.6,64.3,45.6,91.2,A
q340,11084,rights-based and duty-based,All of the above,consequentialist and dignity-based,utilitarian and absolutist,D
q341,11257,If it's not the case that both Izzy plays Minecraft and Ashleigh stops by then Russell makes dinner.,If it's both not the case that Izzy plays Minecraft and Ashleigh stops by then Russell makes dinner.,Izzy playing Minecraft and Ashleigh stopping by entails that Russell makes dinner.,Russell's making dinner is a sufficient condition for Izzy not playing Minecraft and Ashleigh stopping by.,B
q347,11546,5 belts,1 belt,10 belts,9 belts,A
q350,12017,V_ab(t) = - 15te^-4t - 15e^-4t + 18e^-2t,V_ab(t) = 15te^-4t - 15e^-4t + 18e^-2t,V_ab(t) = 30te^-4t + 30e^-4t - 36e^-2t,V_ab(t) = 30te^-4t - 30e^-4t + 36e^-2t,A
q354,233,$35.25,$36.50,$38.75,$46.00,A
q357,766,Towards the consumer,With a competitor,At the same stage of the supply chain,In a different country,A
q365,3620,0.00013M,0.001M,0.0013M,0.004M,C
q367,4158,The point at which the repulsive forces between the two atoms are equal,Where the nucleus of one atom exhibits the strongest attraction to the electrons of the other atom,Where the electrons of each atom exhibits the strongest attraction to the nucleus of the other atom,Where the energy of interaction between the atoms is at its minimum value,D
q368,4177,-10.0$\mathrm{eV}$, -6.8$\mathrm{eV}$,-5.4$\mathrm{eV}$,-11.0 eV,B
q371,4771,the importance of the revolutions of 1848 in modern German history,the shift from conservative to liberal ideas in German history,the relationship between Germany and Europe in the 19th century,the industrial revolution in the context of German history,A
q373,4983,The natural rights theory of John Locke,British ideas about social hierarchy,The Romantic literary movement,The First Great Awakening,D
q377,5309,79%,49%,69%,9%,D
q380,5854,mental map.,verbal directions.,road map.,star navigation.,A
q382,6379,Increases cAMP concentration,Increases nitric oxide concentration,Inhibits potassium flux,Inhibits sodium flux,B
q386,6815,The end-product of glycolysis in all cells is glucose,Glycolysis doesn't require any enzymes,"In glycolysis, glucose is cleaved into two three-carbon products",Glucose metabolism only occurs in the presence of oxygen,C
q389,7585,"The production possibility frontier refers to an outer limit on the finishedconsumer good that a society can produce given its resources and the state of technical knowledge, while the production function describes how various inputs should be employed in order to produce a given amount of output.","The production function is a graph showing the possible combinations of goods that can be produced, while the production possibility frontier is a mathematical equation describing how inputs are transformed into outputs.","The production function focuses on the cost of inputs and the pricing of outputs, whereas the production possibility frontier is about the trade-offs between different goods that society can produce.","The production possibility frontier is a measure of a firm's efficiency, while the production function represents the ethical considerations in production choices.",A
