question_id,model,predicted_answer,correct_answer,is_correct,agent_1_ans,agent_2_ans,agent_3_ans,question
q23,gemma3:4b,B,B,1,B,B,B,"Statistics about rural, suburban, and urban patterns of development and mobility are almost always reported based on a geographical area labeled as Metropolitan Statistical Areas (MSA). What constitutes an MSA?"
q21,gemma3:4b,D,C,0,D,C,D,Which of the following policies did the New Labour government not pursue?
q22,gemma3:4b,B,C,0,C,B,B,"Stone's research suggests that prior to industrialization, the nuclear family:"
q24,gemma3:4b,D,D,1,D,C,D,Mosca and Pareto identified the ruling elite as:
q27,gemma3:4b,A,A,1,A,A,A,The general fertility rate fell between 1964 and 2000 because of:
q25,gemma3:4b,C,C,1,C,C,B,Bourdieu attributed the reproduction of class to:
q26,gemma3:4b,B,C,0,B,C,B,Secularization involves the two related ideas of:
q28,gemma3:4b,B,A,0,C,A,A,Howard's idea of the garden city consisted of:
q30,gemma3:4b,C,B,0,B,C,C,Weber (1919) said that the state's monopoly of the use of force was legitimated by:
q29,gemma3:4b,A,A,1,C,D,A,The 'third age' of the life course is said to involve:
q32,gemma3:4b,C,C,1,C,C,C,The shift from custodial to joint parenthood after divorce means that:
q33,gemma3:4b,B,B,1,B,B,B,Émile Durkheim believed the primary focus of sociology should be which of the following?
q31,gemma3:4b,D,D,1,A,D,D,Sullivan's (2000) study suggested that the proportion of housework men did was greatest when:
q34,gemma3:4b,A,A,1,A,A,A,"The term ""sociology"" was coined in the early 1800s by which of the following?"
q35,gemma3:4b,B,A,0,B,B,B,"In their study of depression, Brown & Harris (1978) found that:"
q37,gemma3:4b,A,A,1,A,A,A,Margaret Mead suggested that:
q40,gemma3:4b,D,D,1,D,D,D,Weber said that the 'spirit of capitalism' could be traced back to:
q36,gemma3:4b,C,A,0,C,A,C,The alternative form of 'network organization' means that:
q41,gemma3:4b,A,A,1,A,A,A,The terms 'crisis of the 1970s' is used to refer to:
q38,gemma3:4b,C,D,0,D,C,B,The term 'secondary deviation' refers to:
q39,gemma3:4b,C,B,0,D,B,B,The effect of the Internet upon the public sphere has been to:
q42,gemma3:4b,B,B,1,B,B,B,The Macpherson Report highlighted the increasing problem of:
q43,gemma3:4b,C,C,1,C,C,C,Seven people standing silently while waiting for a bus at a bus stop is an example of which of the following?
q47,gemma3:4b,B,B,1,B,B,B,"In the 1960s, comprehensive schools did not eradicate class inequalities in education because:"
q44,gemma3:4b,D,D,1,D,B,D,Environmentalist social movements are global in the sense that:
q48,gemma3:4b,B,B,1,B,B,B,"In idealized views of science, the experimental method is said to involve:"
q45,gemma3:4b,C,A,0,C,D,D,Chodorow (1978) argued that gender socialization occurred through:
q46,gemma3:4b,B,A,0,B,C,C,The 'new man' of the 1980s was alleged to be:
q50,gemma3:4b,C,C,1,C,C,C,The Nation of Islam group appealed to:
q51,gemma3:4b,B,B,1,B,B,B,Comte's term 'positivism' refers to:
q52,gemma3:4b,B,B,1,B,B,B,Theories of racialized discourse suggest that:
q49,gemma3:4b,D,D,1,D,B,B,An 'open' society is one that:
q53,gemma3:4b,C,B,0,B,C,C,"A major car accident occurs. One man stops his car and starts helping people. After seeing him stop, others also stop and start helping. Which of the following theories best explains the scenario?"
q56,gemma3:4b,C,C,1,C,C,C,Pluralist theories suggest that:
q54,gemma3:4b,D,C,0,C,C,D,A new highway extends from a major city though an area used for farmland. Which of the following is most likely to happen as a result?
q55,gemma3:4b,A,A,1,A,C,A,"According to W. E. B. Dubois, progress for African Americans in the aftermath of slavery"
q57,gemma3:4b,B,B,1,D,B,B,The term 'over-urbanization' means that:
q59,gemma3:4b,B,B,1,B,B,B,The term inter-generational mobility refers to:
q58,gemma3:4b,C,C,1,C,A,C,The capitalist class of the mid-twentieth century were said to join the upper class because they:
q63,gemma3:4b,D,D,1,D,D,D,What is the name of the process by which we acquire a sense of identity and become members of society?
q62,gemma3:4b,A,C,0,C,A,A,A sect is organised around:
q60,gemma3:4b,C,B,0,D,C,B,"The term 'culture industry', used by members of the Frankfurt School, referred to:"
q61,gemma3:4b,D,B,0,C,D,D,"According to Hakim (1995, 1996), the majority of part-time work is done by women because:"
q64,gemma3:4b,C,C,1,C,C,C,Pre-testing a questionnaire is useful for:
q65,gemma3:4b,D,D,1,D,D,D,Judith Butler (1999) suggested that:
q69,gemma3:4b,A,A,1,A,A,A,"A researcher mailed 1,000 questionnaires to members of a labor union and received 300 back. Most of those who returned the questionnaires indicated that they were dissatisfied with the union. Results based only on the returned questionnaires are most likely contaminated by"
q68,gemma3:4b,D,D,1,D,A,D,"Religious organizations such as the Church of Norway, Islam, the Church of England, and the Church of Greece have which of the following characteristics in common?"
q66,gemma3:4b,A,A,1,D,D,A,Patterns of drug use in Britain reveal that:
q67,gemma3:4b,D,D,1,D,A,B,Murray thought that the 'underclass' consisted of people who:
q71,gemma3:4b,D,A,0,D,D,D,Post-modernist writers have argued that:
q70,gemma3:4b,B,A,0,A,B,B,Role-learning theory suggests that
q72,gemma3:4b,A,A,1,A,A,A,"Leroy visits his parents, who live in a primarily African American working-class neighborhood. During his visit, he notices that the community is changing. Several developments have been built to accommodate single-family homes, and upscale shopping centers have been added. While Leroy appreciates these changes, he is worried that his parents will not be able to afford to continue living in their neighborhood because property values are rising. Which of the following best explains what is happening to Leroy's old neighborhood?"
q73,gemma3:4b,D,D,1,D,D,D,Warner's study of the city of Natchez in the American Deep South showed that the 'colour line' there was:
q75,gemma3:4b,C,C,1,C,C,C,"In Marx's theory, the 'mode of production' means:"
q76,gemma3:4b,A,A,1,A,A,A,The trend of decarceration involves:
q77,gemma3:4b,D,C,0,D,D,D,The work of Smart suggested that:
q78,gemma3:4b,D,D,1,D,D,D,Allen's (2001) study of nurses showed that:
q79,gemma3:4b,C,C,1,C,C,C,Which of the following best describes the practice of placing the blame for the problems of a society on one particular group?
q80,gemma3:4b,D,D,1,D,D,D,"Dahrendorf, Rex, and Habermas focused their attention on:"
q74,gemma3:4b,C,D,0,D,A,C,The social construction of childhood can be traced back to:
q81,gemma3:4b,D,D,1,D,D,D,Sreberny-Mohammadi (1996) argues that national cultures can resist American cultural domination of the media by:
q83,gemma3:4b,D,D,1,D,D,D,Which of the following is consistent with results of current research conducted in the area of gender roles and the workplace?
q84,gemma3:4b,C,C,1,C,C,C,Socialization is:
q85,gemma3:4b,C,C,1,C,C,C,The term 'assets' refers to:
q87,gemma3:4b,D,D,1,D,D,D,Social norms are:
q88,gemma3:4b,D,D,1,D,D,D,The 'nuclear family' means:
q82,gemma3:4b,D,D,1,C,D,D,Mulholland (1998) argued that privatization changed the relationship between companies and managers in that:
q86,gemma3:4b,B,D,0,B,B,D,"In the traditional hierarchy of status and precedence, which of these members of the upper class are in the right order (from highest to lowest status)?"
q89,gemma3:4b,C,D,0,C,C,C,The rise of new social movements indicates that:
q90,gemma3:4b,A,A,1,A,A,A,Which of the following sociological perspectives views society as a system of interdependent and coordinated parts?
q91,gemma3:4b,C,C,1,C,C,C,Post-Fordist forms of media production and consumption involve:
q92,gemma3:4b,C,C,1,C,C,C,Marx said that the development of the labour movement through factory-based production would turn the working class into:
q93,gemma3:4b,C,C,1,C,C,C,"In stage 3 of the 'health transition', the main causes of illness and death are:"
q94,gemma3:4b,D,D,1,D,D,D,Sociologists like Bordo (1993) have attributed the 'epidemic' of anorexia in Western cultures to:
q95,gemma3:4b,A,A,1,A,A,A,One of the difficulties in 'operationalizing' concepts like social class is that:
q96,gemma3:4b,A,A,1,A,A,A,"In the 1990 reform of the National Health Service, hospitals became:"
q97,gemma3:4b,D,D,1,D,D,D,Law and order was privatized in the 1980s and 1990s through:
q98,gemma3:4b,A,A,1,A,A,A,The 'correspondence principle' (Bowles & Gintis) suggests that:
q100,gemma3:4b,C,C,1,C,C,C,Charles Cooley's theory of the looking-glass self emphasizes
q101,gemma3:4b,D,D,1,D,D,D,Queer Theory makes the claim that:
q102,gemma3:4b,D,D,1,D,D,D,Scott (1991) introduced the term 'power elite' to describe:
q103,gemma3:4b,C,C,1,C,C,C,"A sociologist is conducting research on institutional power relations at a local hospital. The sociologist is on staff at the hospital for several weeks, recording data as field notes. This method of research is called"
q104,gemma3:4b,D,D,1,D,D,D,"In Symbolic Interactionist theory, Mead defined the 'generalized other' as:"
q99,gemma3:4b,D,B,0,B,D,D,Class segregation was apparent in mid-twentieth century Britain insofar as:
q106,gemma3:4b,D,D,1,D,D,D,Marx (1844) claimed that capitalism had alienated workers from:
q107,gemma3:4b,A,D,0,A,A,A,Herberg's (1955) study of religion in America suggested that:
q108,gemma3:4b,D,D,1,D,D,D,Structural-Functionalists describe society as:
q109,gemma3:4b,A,A,1,A,A,A,Booth's (1901) study revealed that the percentage of people in London who were living in poverty was:
q110,gemma3:4b,C,C,1,C,C,C,Traditional working class identity was based around:
q105,gemma3:4b,C,C,1,A,C,B,"According to Davis (1995), women may seek cosmetic surgery because:"
q111,gemma3:4b,D,D,1,D,D,D,Bernstein thought that using 'restricted codes' of language disadvantaged pupils at school because:
q112,gemma3:4b,B,B,1,B,B,B,Telework is a form of employment that involves:
q115,gemma3:4b,A,A,1,A,A,A,The print revolution of the nineteenth century resulted in:
q114,gemma3:4b,A,A,1,A,A,C,The case of the former Soviet Union supports Kerr et al.'s (1960) claim that:
q117,gemma3:4b,C,C,1,C,C,C,Ethnographic research produces qualitative data because:
q116,gemma3:4b,C,B,0,B,C,C,The term 'feminist standpoint' suggests:
q113,gemma3:4b,C,C,1,C,D,C,Frank (1967) made the claim that 'underdeveloped' societies were:
q119,gemma3:4b,B,B,1,B,B,B,Which of the following is not a feature of globalization?
q120,gemma3:4b,C,C,1,C,C,C,Someone who gains a higher (or lower) social position than he or she was born into has experienced
q121,gemma3:4b,C,C,1,C,C,C,A survey should avoid asking:
q122,gemma3:4b,B,B,1,B,B,B,"The theory of development which suggests that societies move from traditional to modern, industrial forms of organization is called:"
q118,gemma3:4b,B,B,1,B,A,B,Marx proclaimed that religion would disappear when:
q125,gemma3:4b,A,A,1,A,A,A,World-affirming religions:
q123,gemma3:4b,B,D,0,D,B,B,"In modern societies, social status is typically measured by a person's:"
q124,gemma3:4b,C,C,1,D,C,C,Sociology differs from common sense in that:
q127,gemma3:4b,C,C,1,C,C,C,Weber defined a 'class situation' as:
q129,gemma3:4b,B,C,0,B,B,B,Smith & Tomlinson argued that:
q130,gemma3:4b,C,C,1,C,C,C,The 'post-industrial society' identified by Bell (1973) involved:
q126,gemma3:4b,B,B,1,B,C,B,The 'extension pattern' that Parker (1976) identified was said to be:
q132,gemma3:4b,A,D,0,A,A,A,"With industrial capitalism, leisure emerged as a concept that meant:"
q128,gemma3:4b,C,D,0,B,D,C,The introduction of market principles to educational policy in the 1980s resulted in:
q133,gemma3:4b,A,A,1,A,A,A,A moral panic occurs when:
q134,gemma3:4b,D,D,1,D,D,D,The 'demographic transition' is a social trend that involves:
q135,gemma3:4b,B,B,1,B,B,B,'Snowballing' is an example of:
q131,gemma3:4b,D,D,1,C,D,D,White-collar crime is low in visibility because:
q137,gemma3:4b,D,D,1,D,D,D,"In the context of the labour movement in the nineteenth century, 'incorporation' meant:"
q138,gemma3:4b,A,A,1,A,A,A,Millions of immigrant children who entered the United States learned English and the duties of citizenship while attending public schools in the communities in which they settled. This is an example of which of the following sociological concepts?
q139,gemma3:4b,D,D,1,D,D,D,The capitalist world economy is what Wallerstein (1974) would call a 'world system'. This term refers to:
q140,gemma3:4b,D,D,1,D,D,D,"According to Foucault, carceral organizations:"
q142,gemma3:4b,B,B,1,B,B,B,Ethnic identity refers to:
q136,gemma3:4b,B,B,1,A,A,B,The 'class polarization' that Marx predicted referred to:
q141,gemma3:4b,C,B,0,C,B,D,Which of the following is not recognised as a level of society?
q144,gemma3:4b,D,A,0,D,D,D,The market model of state welfare is based on the principle of:
q145,gemma3:4b,B,B,1,B,B,B,The term feminization of poverty refers to:
q143,gemma3:4b,D,B,0,D,B,A,Marriage appears to be in decline because:
q146,gemma3:4b,C,C,1,C,C,C,Which of the following is not identified as a new form of community?
q147,gemma3:4b,A,A,1,A,A,A,The use of 'indentured labour' in the nineteenth century involved:
q148,gemma3:4b,D,D,1,D,D,D,Cultural restructuring has involved:
q149,gemma3:4b,D,B,0,D,D,D,Which of the following was not part of Weber's ideal type of bureaucracy?
q150,gemma3:4b,D,D,1,D,D,D,Which of the following is the most important agent of socialization in early childhood?
q153,gemma3:4b,C,C,1,C,C,C,Which of the following is not a regular national survey carried out by the British government?
q152,gemma3:4b,D,C,0,D,D,A,'Scientific' theories in the nineteenth century tried to explain race in naturalistic terms. Which of the following ideas was not considered?
q155,gemma3:4b,A,D,0,A,A,A,The 'decentralized city' can be identified by:
q151,gemma3:4b,A,A,1,D,A,A,Which of the following is not a 'research purpose'?
q156,gemma3:4b,C,C,1,C,C,C,Lombroso claimed that:
q154,gemma3:4b,A,C,0,A,A,C,Which of the following industries did Blauner (1964) suggest was most alienating to its employees?
q158,gemma3:4b,B,B,1,B,B,B,"When Berger & Luckmann said that reality is socially constructed, they meant:"
q160,gemma3:4b,B,B,1,B,B,B,Pilcher (1999) identified soap operas as a 'feminine genre' of media because:
q161,gemma3:4b,C,C,1,C,C,C,Which of these was not one of Townsend's (1979) indicators of relative deprivation?
q159,gemma3:4b,B,B,1,B,B,D,Which of the following groups or organizations can be identified as having the characteristics of a bureaucracy?
q157,gemma3:4b,D,D,1,B,D,D,Warner and Myrdal claimed that black former slaves were not joining the 'ethnic melting pot' of the North American cities because:
q162,gemma3:4b,D,D,1,D,D,D,Children who are still sucking their thumbs when they enter kindergarten are often subject to teasing and ridicule for this behavior. What type of social sanction is applied in this instance?
q163,gemma3:4b,B,B,1,B,B,B,The concept of political culture refers to the
q164,gemma3:4b,B,A,0,B,B,B,"Walt Disney, Sony and Time Warner are examples of:"
q165,gemma3:4b,B,B,1,B,B,B,Equilibrium theories of social change emphasize
q166,gemma3:4b,A,A,1,A,A,A,Which of the following best describes the definition of poverty used by the United States government?
q167,gemma3:4b,B,B,1,B,B,B,The 'absolute' poverty line is drawn to show:
q170,gemma3:4b,B,C,0,B,B,B,"In the nineteenth century, homosexuality was understood as:"
q169,gemma3:4b,C,A,0,C,D,A,Which of the following was not a strategy used by the Conservative government of 1979 to reduce the power of the labour movement?
q172,gemma3:4b,A,A,1,A,A,A,The 'new racism' refers to:
q171,gemma3:4b,B,B,1,C,B,B,The population pyramid of a population that has had a slightly larger birth rate than death rate for several generations will most likely have which of the following shapes?
q168,gemma3:4b,A,C,0,C,A,A,'Eyeballing' is a technique that involves:
q173,gemma3:4b,A,A,1,A,A,A,Giselle graduated from college with high honors in management. She was recruited immediately following college by a large corporation and accepted a position in junior management. She quickly advanced to middle management. Ten years later Giselle was still in a middle-management position and had witnessed junior male colleagues promoted over her. Which of the following is a phenomenon that is most likely to explain Giselle's lack of promotion?
q174,gemma3:4b,B,B,1,B,B,B,The Mafia is an example of:
q175,gemma3:4b,A,A,1,A,A,A,Goldthorpe identified the 'service class' as:
q176,gemma3:4b,D,D,1,D,D,D,Industrial production in the nineteenth century was characterized by:
q177,gemma3:4b,D,D,1,D,D,D,The term 'collective consumption' (Castells 1977) refers to:
q178,gemma3:4b,B,B,1,B,B,B,The deviant subculture of homosexuals who met in seventeenth and eighteenth century London was called the:
q179,gemma3:4b,B,B,1,B,B,B,Robert and Tanya are married and live with their three children. Their family unit is called
q180,gemma3:4b,C,C,1,C,C,C,"In Durkheim's work, the term 'collective representations' refers to:"
q183,gemma3:4b,A,A,1,A,A,A,Which of the following theories focuses on how society manages to carry out the activities necessary to maintain order and stability?
q182,gemma3:4b,C,C,1,B,C,C,Freud's notion of the 'ego' referred to:
q185,gemma3:4b,C,C,1,C,C,C,The tripartite system used the 11+ exam to select pupils for:
q181,gemma3:4b,B,B,1,D,B,B,Which of the following is not a characteristic of totalitarian societies?
q186,gemma3:4b,A,A,1,A,A,A,Durkheim defined social facts as:
q184,gemma3:4b,B,C,0,B,C,B,Which of the following is a personal document with closed access?
q188,gemma3:4b,B,B,1,B,B,B,Bowlby's maternal deprivation thesis claimed that:
q187,gemma3:4b,A,D,0,A,A,D,The media-themes model of media influence claims that:
q189,gemma3:4b,B,D,0,D,B,D,War became possible between nation states in the nineteenth century because:
q192,gemma3:4b,D,D,1,D,D,D,"According to Scott (1990), a document is 'authentic' if it:"
q190,gemma3:4b,C,C,1,C,D,C,Which of the following is not identified by Fulcher & Scott as a criterion of community?
q193,gemma3:4b,A,A,1,A,A,A,Which of the following is not a consequence of global tourism?
q194,gemma3:4b,C,C,1,C,C,C,Which of the following did Thatcher's government not strive to achieve:
q191,gemma3:4b,C,C,1,C,C,C,The 'Great Migration' of 1916-1919 meant that Chicago became an ethnically diverse city. The consequence of this was:
q195,gemma3:4b,B,B,1,B,B,B,One of the ethical problems with covert participant observation is:
q196,gemma3:4b,B,B,1,B,B,B,The embourgeoisement thesis suggests that:
q197,gemma3:4b,D,D,1,D,D,D,Women have been excluded from the public sphere because:
q200,gemma3:4b,B,B,1,B,B,B,The human relations approach emphasized the importance of:
q198,gemma3:4b,D,C,0,C,C,D,Economic aid has largely failed to promote modernization in the developing countries because:
q199,gemma3:4b,D,D,1,D,B,A,How is terrorism different from the types of crime described by the Chicago School?
q201,gemma3:4b,D,B,0,D,A,D,Which of the following did Domhoff not identify as a process of decision-making in the USA?
